"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Properties", "Markdown", "CSS", "TypeScript JSX", "TypeScript", "HTML", "comment", "blank", "total"
"e:\projectrestart\new-socialmedia\.env", "Properties", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\projectrestart\new-socialmedia\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 21, 47
"e:\projectrestart\new-socialmedia\dist\output.css", "CSS", 0, 0, 0, 0, 0, 346, 0, 0, 0, 155, 76, 577
"e:\projectrestart\new-socialmedia\package-lock.json", "JSON", 0, 18303, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18304
"e:\projectrestart\new-socialmedia\package.json", "JSON", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 1, 62
"e:\projectrestart\new-socialmedia\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 21, 23, 1, 45
"e:\projectrestart\new-socialmedia\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\projectrestart\new-socialmedia\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 5, 64
"e:\projectrestart\new-socialmedia\src\context\LikedPostsContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"e:\projectrestart\new-socialmedia\src\context\NotificationContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"e:\projectrestart\new-socialmedia\src\context\UserProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 4, 32
"e:\projectrestart\new-socialmedia\src\index.css", "CSS", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 6, 37
"e:\projectrestart\new-socialmedia\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 3, 11
"e:\projectrestart\new-socialmedia\src\lib\calTime.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"e:\projectrestart\new-socialmedia\src\lib\getComments.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"e:\projectrestart\new-socialmedia\src\lib\getFollows.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 2, 23
"e:\projectrestart\new-socialmedia\src\lib\getPostByPostId.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"e:\projectrestart\new-socialmedia\src\lib\getPosts.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 2, 26
"e:\projectrestart\new-socialmedia\src\lib\getPostsByUserId.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"e:\projectrestart\new-socialmedia\src\lib\getUserById.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"e:\projectrestart\new-socialmedia\src\lib\getUsers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 7, 2, 11
"e:\projectrestart\new-socialmedia\src\lib\sendLoginRequest.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"e:\projectrestart\new-socialmedia\src\lib\sendSignupRequest.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 2, 40
"e:\projectrestart\new-socialmedia\src\lib\toggleFollow.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 2, 41
"e:\projectrestart\new-socialmedia\src\navBar\components\AccountMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 5, 108
"e:\projectrestart\new-socialmedia\src\navBar\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 3, 4, 49
"e:\projectrestart\new-socialmedia\src\pages\about\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"e:\projectrestart\new-socialmedia\src\pages\home\components\AllPosts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 132, 0, 0, 7, 5, 144
"e:\projectrestart\new-socialmedia\src\pages\home\components\CommentSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 0, 5, 5, 125
